title,published_dt,section,source,link,skip_reason
"700 rural hospitals at risk of closing, by state",2026-07-22T14:41:04+00:00,finance,Beckers Hospital Review,https://news.google.com/rss/articles/CBMimgFBVV95cUxOaTQycUJRZk9sRUVxVk5zbmU0VU54aUFaRFY1MWtURVBaMGRyWGVrUHJqT2ZUWHRqeHpuLWdkRUVBUUdWQ0pRSjRkMUNZbTczTDNpMkZXR3hMVmVkS0JMRVFmcC0taFlGZmFwRXJpUThwRnZZd2diSkxkX2lDVzZfQTNuRXR1NFllMHpsQ0dLSXk2d0N0ZUtPMEF3?oc=5,Empty or blocked article page
New AI billing codes spark concern across nursing,2026-07-17T07:00:00+00:00,finance,Beckers Hospital Review,https://news.google.com/rss/articles/CBMivgFBVV95cUxOREc4TWJQcnpSQVM0Z1NFdjBTYXBrcWNLWlZqVG9icW0zandCbnQ4dV9nNzNGd3pCcnJsZGtqc0kxbDN3SlR0cDBESHZlbjFXVXNlcDNmSWtoRFpiVUpjYmZoSVJrb0RmMWdQajFtU3REbl9JdUVkblNDWVZGOFR6LXlITTJGWk1mNW9qYWlmNXZFb3d2Qld1M3F2MEtTRFFSR0VPWEtCUTNENnM3NUF2Q1llSC14bGxvX0NwbXhn?oc=5,Empty or blocked article page
"Delaware to phase in hospital price caps, expand charity care — 3 things to know",2026-07-20T22:08:05+00:00,finance,Beckers Hospital Review,https://news.google.com/rss/articles/CBMivAFBVV95cUxNWXVaWlRzbkZVNkJPZGw0Mndid3huMlZTZm1EWXFyMmZUUFBIOVk2dFVsNndyTURxRFFUekJYSUdseENwQlBBUWdVLXZuU3pvOWptT1N6Vzd0dGFXYjRlOW5LRnpkZXFaNFJsUGcwS3BHenZrMElfbHo0YV9wQUVaLW9wMUM0LWJXcm1JRkprVmVMc3dRSGV3RVVzX2lZWVdoNUJWRHQ3TTZOSEhETFZIOFBSdWdFa2NhdmlnVg?oc=5,Empty or blocked article page
ACA fallout hits for-profit health systems harder than expected,2026-07-24T18:02:34+00:00,finance,Beckers Hospital Review,https://news.google.com/rss/articles/CBMirwFBVV95cUxNaUY3WWpmT3haWUZOcTRrZ3NJb0JqSzROcFhVQ1NNVE1jR2V3M1lPWnU3Zk5QNUdsZEd0b2VJNVVfV3hXSUFhOHZPVjZ0TDNZbkRsTFBUNUpwRkxXWTNKd0hLZ2VhOUxsWGRreG9oanB3a0p1MkNxVWdBRkxMeEl5UjRIS2dxeUhEdUM1Tlk3T0FvNTlOY21Ia0tzMFItUWpqb1dkQVR1M3lBeG9EN2tV?oc=5,Empty or blocked article page
"Bankrupt New York system to close hospital labor, delivery unit",2026-07-14T17:30:19+00:00,finance,Beckers Hospital Review,https://news.google.com/rss/articles/CBMirgFBVV95cUxOLVdULUh4ZGJncElXUVRZenFQWHQ2V01uSW44OGhkMWxkdFRUS3pmcFJWRFNaYzZrWWpoWlBldmU1X0ZCS0s1QTR3VS03SXhYV2VXVlQzREN2Sl9OaHAxWnhXQ1FZOU95a3ZlLWc2ZHV3WkVIVF91bFVlQ3lOX29sRU1rWHJsZVVrNExsbkRIa0tGYUxTallkZ1BaOWdxN1dFV21uUzJ3WHZUY1J2N3c?oc=5,Empty or blocked article page
Centene’s buyouts could have a $315M+ price tag for the rest of the year,2026-07-31T18:00:33+00:00,finance,Beckers Hospital Review,https://news.google.com/rss/articles/CBMitwFBVV95cUxOZ3VFUnNaR2dTajVlTDBQTjBOWVRpZHpheWM4eUFSbkIxUzdMNUc1S1Q3WWY5Q1BMclppTnQtM19sQ29FNW1xb2R2YUUzZjF3SXJ3dkJ2bE5mdHpwd25wUS11Q2tXWkpDTmlmOTR6S0NrNHlaNWl6U2llbG9sdXpISHBqWEkwZGZqX3JMaDZ3S3IyejlzaHZCYjBWenYyOVJhNWpZLTFSSlV0cHFVT1hMNFN0M0M0WFU?oc=5,Empty or blocked article page
"CMS finalizes 2.3% hospital pay bump, mandatory joint replacement model: 9 things to know",2026-07-31T21:26:59+00:00,finance,Beckers Hospital Review,https://news.google.com/rss/articles/CBMizgFBVV95cUxNRUdYejNHaVVUaEJtTVpWRHBwejBnNDhvRHBZTzdTWjdVV1BFVS15Y1hSYlM5WC1adVdVRFRINVRkMFlrZkVUdTNmN2VDaDdlMDg4UDNrZVFJeldJZ3dQQ29fcFByQkdSemhWd2Q1WlA1bXBQQ1JYXzJSSXM3cTJsNHBUMHRBb29pYTlaRUFfUzNkU0tWYkNIYmJQUFR2QVBFMUJwUlMtOGlXUk9Zak5ROUR0ZW1VUThWWHdVem5JWXppbjNmTFBwTFVwNkRldw?oc=5,Empty or blocked article page
Wellstar cuts 761 jobs,2026-07-31T17:01:56+00:00,finance,Beckers Hospital Review,https://news.google.com/rss/articles/CBMieEFVX3lxTE9lbVFNakNGY2dPZ1ZqZmkyenRXVHI4cFVLdF9OamhHbEhfMU1HZWxGQ25CVDNBYlFtdEUyZG4yLUkwM2I4M0Z2T0laVnZ3WmphU1ViaUlQMlFnQmd1c0dtbFE5UG1Ob1l4NGJVYi1VbzBqN3BzNHQ1Ng?oc=5,Empty or blocked article page
UnitedHealth Group becomes 4th largest company in the world,2026-07-30T20:51:30+00:00,finance,Beckers Hospital Review,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPUkk1b1dkVTh3YVNHLVV3MzNwNjZxSG1NZ3ZoOWwyUWV4V01YUUxDMThuZkFvY0FmenMtRDZ6LXc4c0tCWmxGSEFreFl2NnhIcS12MFZ6dkFCbml4MnN0VkRHak1Tb0loeXdvd3BHZ0E2VlJkRlZiaDJtNW9MaEJfZVdNdG1rREMzMzlWUElhVGZQa2txaUtOMVQwVHU2T2g1RUNmVHdVTGdkdw?oc=5,Empty or blocked article page
Why UHS sees Talkspace as an accelerant for outpatient growth,2026-07-28T18:22:01+00:00,finance,Beckers Hospital Review,https://news.google.com/rss/articles/CBMirAFBVV95cUxOdnl0YnozMGI3UGNkVFFiaUhVSVZrSGpka09IUG9pZE9oa1BIR2dOUFU0VmNZSFJjcm5TM0xwcXpvQy1iZ1p1dmdBVWgtM1RFTkRQSnBFWnM1X0ZBSS1ieVlORkFMbE40YmE4U2V0eUg1OV9idFNlN1BnTF9MRGxob3BCR3hKdEYyNGhmQ1NyNDg0SE9qTkZpRXdGQnFsa19YODFSYVU5alF6XzM5?oc=5,Empty or blocked article page
"ACA subsidy fallout boosts some payer margins, pressures hospitals’ payer mix",2026-07-28T23:41:50+00:00,finance,Beckers Hospital Review,https://news.google.com/rss/articles/CBMivwFBVV95cUxNeGY4UFlNYVhsWmRRUHdJVVNpdzgzN0Q3cVhDbHNuMUt0alhCbUduTktuMjRnTW5CTTVMZ1lqX1I0SHNRc1pUcEg4Qk1EQUNMQzJCVkQ3Y2Y5bVV5eWtHa1NUa000ME5iQUZOaXltamRzV0FoYl9oSnM0NE9Qbk9jUWRzRzA5bF9MdVpIMWIzQjZXQW9JTUZHbGRiRVZBUDFVNFBRMkJzdUdXZWdleElZSWNHaHl6dEYtTGwybnFDcw?oc=5,Empty or blocked article page
The 5 biggest health system layoffs in 2026,2026-07-29T21:39:09+00:00,finance,Beckers Hospital Review,https://news.google.com/rss/articles/CBMilAFBVV95cUxQVmw3cl90YldNdGN0SVl5TmdEWjlPUlY1N0NCTi02NE5kM3FkNTdoQzZ5c2hIQUNzczcyLXJKMkdGbndlb0Y5MTl2N0wzaWJVVjRVRGotYkhzMWR1dHNES2VlQzBrY2hTY1pCalhkSVpaRC1qRFRvVEt0UEhZVXNGQzc2cVRmUldja29EamZfYmNlZ3A1?oc=5,Empty or blocked article page
8 things to know about healthcare spending trends,2026-07-27T17:32:40+00:00,finance,Beckers Hospital Review,https://news.google.com/rss/articles/CBMinAFBVV95cUxNRTNUU0x2ZUR5NGZvR1pRU242dWZmTi00WmVYVl9Wa19RbWpqS2JZWVFfYmlzZ0Q4ajNkVVJ6N0FDTEk0TVQ4bzBzbnFTeGo3QWxVZ2t1UXMwQXk1cHpmXzd3SFJRZjdPbWpjckdILTdLRkZBNWJKQWYxODE1cVlNM0RqOXI1OW1xRzhXQkRQZ0hqdURScHVRbUpiWmU?oc=5,Empty or blocked article page
"CMS finalizes payment rules for inpatient psychiatric, skilled nursing facilities: 12 things to know",2026-07-29T21:46:16+00:00,finance,Beckers Hospital Review,https://news.google.com/rss/articles/CBMi3gFBVV95cUxOMS1MbGVBOFpWOE5JWDFPc2NJcWc0Y1NWYTlVc2FQOTUyZDNUbHdlM2lxWXlUYVd2ZWpkNFo2R0QybXFmNmVVMmdaTjlQZVlWa3VzamVnMnFIMm5iRlZGNXRGMkJEWi1nanRqZTk3R3dtQlB2S1hVYWNOVUNMSGw2NkJUYmZuYTdKMnJQdDlDOWpmRk5zVklMLVRCaHFMdUhrc2VHZXFTc2dUdWVLMFFDUVh3bTlUaVBCSUV6RzgwSHZmdjR1ZDFOMkpZaDl5cXR5ek9zTUFIcTJfR2kxVEE?oc=5,Empty or blocked article page
"Urban hospital closures and net change, by state",2026-07-31T17:15:17+00:00,finance,Beckers Hospital Review,https://news.google.com/rss/articles/CBMimgFBVV95cUxNQ1I0eDF3eDFwXy1JdFBpSlpMbXp6N0ZVYnd6eWdPMzREWkNCZ0lCVUpwX1pyX3F6N2I3OGgzNlVOS1EzSHFXWUpnQVdYS0NEdnVMcnV5ampPSFpHMzN6ajVWRHpKUzZPM3BIOGZmaG14cmN2aFV0V1VMWmtuR1Ewd1F3TjNmcFF6dG1ITmRGY2RJSnRXSjBkNHRB?oc=5,Empty or blocked article page
Rural hospitals build scale to stay independent: Commonwealth Fund,2026-07-24T18:00:48+00:00,finance,Beckers Hospital Review,https://news.google.com/rss/articles/CBMisgFBVV95cUxQNGEzSFB5dmZ1MHloTTF6M3QzTUdsSVNGSUVlTUhwYklydWN1d0ZvV2xMLXdQSThqV1NJRFh4QWZQMkpfVnRxY3RDbFJCbV9haEpSZmcycnY0V0lxaWZ0SUg1SEE5ZmZXUTdPREFPb2tzSmRxWUhaLUk2Tm1jY2d2bldKeDBhTzlrYWJBeDg5U2FFOFc2MGdTek5QNFBvSTItbkdaRktVVktnZUxrbW51QUZ3?oc=5,Empty or blocked article page
Jefferson Health sues Independence Blue Cross over nearly $100M in disputed payments,2026-07-24T23:33:29+00:00,finance,Beckers Hospital Review,https://news.google.com/rss/articles/CBMiygFBVV95cUxOY1o2d1hjc2ZPVWFGVDdsLW9wTnMzYjdIOV9WMUxOM3ZMV3gta00teEJqekhBejU2T0xVR3phS1JGOThFcWNzdnZDRGFUblllRFQtRHhNNjBOdnVmUVRNa2JvRWg2d21QOUhjZVMxbjVJZFdpR3NQdmZJdVlJczc5SUpscjAxcEJqeXpyMWRDR0VCVEs1VVI5cmViSElZUjFkbXkxdmdBbW8ydXd2c29NbjU4a1dTOXJRd1ZsNUtGcXhzY1FQWkhFaFdn?oc=5,Empty or blocked article page
Rural hospital closures by state vs. transformation funding,2026-07-28T21:47:39+00:00,finance,Beckers Hospital Review,https://news.google.com/rss/articles/CBMiqAFBVV95cUxQNzg5YUJGQVhUbUlaa3VfTE1VR2hJVXhRNzJka2ZzN1FKTGc1d0RVM3dwMTlUd09MTUN1SjJCczhXWjg5b3NZT2p5YUdQZGNvWTE5YzZOa2tWRVFURThGY3k0SXpKNnVLYmRJR3I2NlNPZGR5WU04ajRHbUx0LUJRUDd1SkpvSkE1SXMzSTRfQUpTRVhxVmtqREduZFM3TGZ0QmlJSFEzVXg?oc=5,Empty or blocked article page
Ascension’s $3.9B Amsurg deal puts new spin on rural health hub model,2026-07-22T18:47:56+00:00,finance,Beckers Hospital Review,https://news.google.com/rss/articles/CBMitAFBVV95cUxQcy1RSm9RZGwwdWRESWNBYV9xamNZUEhuQXh6TGVxSEV3OS1DT1BPeTQzdU9iVmpPUDJ0aVZSU1RnejFodXE0Uk40VG1XWC1pdUp3Y3huLXVHNnk4Q0d3R0lyaFMtMWUtYkNRUzRPSzBjMlJzT1BTSWhxWWRVYm1KbV80a1phMDZGUFBQclZrVUU1ZnVzR2lrbnRNMTdlbDlYaXRoZUY1alZ5eXR6Qy03Q0ZxRWY?oc=5,Empty or blocked article page
"Aspirus to close clinic, consolidate services",2026-07-24T13:00:00+00:00,finance,Beckers Hospital Review,https://news.google.com/rss/articles/CBMilgFBVV95cUxObkJLSlp2Y3hvYW1yM2MyT0E3WGNlNkJ3cmlMX2h1N3NwQ1JuOUZHeHotbHg1T1E1aE5CTFQ0QVFJU2hLb0trTHpWQllrUW1hVUM1cWxHTDZnQ0w1TzR0eHhIM1MtRFlpZjJEWEFnQmRKNmpEU2NIRmFCd0V5UGhtRW1sZmlsMnVGcmFUQUlwbS1BX2xlYkE?oc=5,Empty or blocked article page
"New York hospital to close of sleep center, primary care and physical therapy services",2026-07-20T13:31:31+00:00,finance,Beckers Hospital Review,https://news.google.com/rss/articles/CBMizAFBVV95cUxOQlhIN3hGbG1HNUNSOFp3YmlXSTNlV1FtbF9tbnlwRHozaUUxYUxhVXNDelBjcy1vZHFZR1poUm90NV84NHhsd2FmYXVObml2c2hQREd4Y0dOWk9qV3NEWGxybkV4OGg4UmtlNjdFbXlSR29ESHJwYmhhNlMyY2VwUWE1dURZdmhEZnAtU3F4U2M3UWJPbHdPN3RmaDRxRzh5SEF2TEhvZ2lDNEQ4b0IyYnFXd0M5UXlhc1pGZmIyejhYLUJuLWRBeFE5Qnc?oc=5,Empty or blocked article page
Tower Health hospital to lay off 160 employees,2026-07-28T21:07:19+00:00,finance,Beckers Hospital Review,https://news.google.com/rss/articles/CBMimAFBVV95cUxPTm5zclAyd05QX0NkN0Y0dGFUM1g4QlJBdDNZYWNPcVdVeUVSQmNFbnB2LVJFc2RJSUpjdnd1MjE0dy1mME4wdTRRV2pPUG5YbXRoYmhRLUtKb2FiUkZQN1dLcTJnODNHMTd4VEFvTV9WMzVkU1Axc0lVUGRLakZLRGtzeDNEdWluc3RXVHVhaU9sUEhQUzBSaA?oc=5,Empty or blocked article page
Illinois hospital gets 6 more months to reopen,2026-07-22T07:00:00+00:00,finance,Beckers Hospital Review,https://news.google.com/rss/articles/CBMimAFBVV95cUxNLVQ1Xy1kYTNLcWdOUEtpUkNISmdoX3lWV3NQcnE2dTljcHBrLXlmVEQ1NVRJRG80RW52LUNCTDI4aVpWODBVNFNRT0Vic1Q3RS1sbGQ5MzI0ZEV3RnZfOGJqT2hfZnhDelg3NnU2QW9zaGFxX25EbmRhbTRyTmMxMnI3NWk5Y0Vsc1hxNG9aaUgtUGsxRld6cQ?oc=5,Empty or blocked article page
417 rural hospitals at risk of closure: Chartis,2026-02-11T08:00:00+00:00,finance,Beckers Hospital Review,https://news.google.com/rss/articles/CBMimAFBVV95cUxOVWxGdEttdGhDNjdLSWdLZWNtT3daQ0w1X0tIa0pRdmRLaXNvanY4NEtoTHFnSVU0WlYyRWpsTjdIaWF2RFNNTXlraUF6dllWWDRfaTgxNnZHb1MwV3NwRGd0NW93dkZYQ1BZeGpjZG1SMFRFaTBOMHFnZkZMQk8tSjhWNnZhYXBiSEZRaVk0ZGlQQmJvMHRxQg?oc=5,Empty or blocked article page
