title,published_dt,section,source,link,note
10 largest Medicaid managed care plans,2025-01-02T21:29:55-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/10-largest-medicaid-managed-care-plans,The article provides a list of Medicaid managed care plans without mentioning any exit events or closures.
Elevance Health's 2024 in 10 headlines,2024-12-31T19:01:01-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/elevance-healths-2024-in-10-headlines,The article discusses various business activities and changes but does not mention any specific exit events or closures.
3 Medicare Advantage plans audited for $11.4M in overpayments,2024-12-30T22:54:08-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/3-medicare-advantage-plans-audited-for-11-4m-in-overpayments,The article discusses audits and overpayments related to Medicare Advantage plans but does not mention any exit events or closures.
An unimaginable year for UnitedHealth,2024-12-30T22:22:35-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/an-unimaginable-year-for-unitedhealth,The article discusses crises and challenges faced by UnitedHealth but does not mention any specific exit events or closures.
"Medicare Advantage dental benefits lacking, study finds: 3 notes",2024-12-30T18:10:34-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage-dental-benefits-lacking-study-finds-3-notes,The article discusses Medicare Advantage dental benefits but does not mention any exit events or closures.
Medicare Advantage in the headlines: 7 recent updates,2024-12-30T18:07:25-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage-in-the-headlines-7-recent-updates-13,The article discusses updates related to Medicare Advantage but does not mention any specific exit events or closures.
Sickness scores surged for UnitedHealth Medicare Advantage patients: WSJ,2024-12-30T15:32:41-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/sickness-scores-surged-for-unitedhealth-medicare-advantage-patients-wsj,The article discusses issues related to Medicare Advantage but does not mention any specific exit events or closures.
Health insurers confront climate change,2024-12-27T15:03:25-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/health-insurers-confront-climate-change,The article discusses trends and initiatives in the healthcare insurance sector but does not mention any specific exit events or closures.
"Medicaid spending on weight loss, diabetes drugs up 500% since 2019: 5 numbers to know",2024-12-20T21:36:47-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicaid-spending-on-weight-loss-diabetes-drugs-up-500-since-2019-5-numbers-to-know,The article discusses Medicaid spending on drugs but does not mention any exit events or closures.
Improving access and reducing costs: Transformational technology delivers results,2024-12-20T20:13:25-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/improving-access-and-reducing-costs-transformational-technology-delivers-results,The article discusses improvements in behavioral health services and technology but does not mention any exit events or closures.
"After slow start, ACA enrollment takes off",2024-12-19T21:21:26-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/aca-enrollment-lags-3-things-to-know,The article discusses ACA enrollment statistics and policies but does not mention any exit events or closures.
Senators ask GAO to investigate Georgia's Medicaid work requirement program,2024-12-19T17:41:33-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/senators-ask-gao-to-investigate-georgia-medicaid-work-requirement-program,The article discusses a Medicaid program and administrative costs but does not mention any exit events or closures.
ICHRA platform raises $100M,2024-12-19T15:44:42-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/ichra-platform-raises-100m,The article discusses funding and expansion of ICHRA platforms without mentioning any exit events or closures.
"OSU Wexner, startup payer partner on transparent pricing model",2024-12-19T15:38:06-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/osu-wexner-startup-payer-partner-on-transparent-pricing-model,The article discusses a new pricing model and does not mention any exit events or closures.
SCAN Group: It's time for a Healthtech Moonshot,2024-12-18T20:50:43-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/scan-group-its-time-for-a-healthtech-moonshot,The article discusses healthcare technology and policy proposals without mentioning any exit events or closures.
12 key insurance industry lawsuits in 2024,2024-12-18T20:28:50-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/12-key-insurance-industry-lawsuits-in-2024,The article discusses various lawsuits in the insurance industry but does not mention any exit events or closures.
New York City loses Medicare Advantage appeal,2024-12-18T19:58:13-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/new-york-city-loses-medicare-advantage-appeal,The article discusses a legal decision regarding a Medicare Advantage contract but does not describe any exit events or closures.
8 payer partnerships in 2024 to know,2024-12-17T21:22:07-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/8-payer-partnerships-in-2024-to-know,The article discusses partnerships and collaborations but does not mention any exit events or closures.
"Sanford, Bryan Health to launch joint Medicare Advantage plan: 3 notes",2024-12-17T18:24:52-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/sanford-bryan-health-to-launch-joint-medicare-advantage-plan-3-notes,The article discusses a joint Medicare Advantage plan launch but does not mention any exit events or closures.
OIG warns of risky Medicare Advantage marketing schemes,2024-12-16T15:02:09-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/oig-warns-of-risky-medicare-advantage-marketing-schemes,The article discusses Medicare Advantage marketing schemes but does not mention any exit events or closures.
The 4 best-managed payers of 2024,2024-12-13T19:21:55-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/the-4-best-managed-payers-of-2024,The article discusses rankings of payers and does not mention any exit events or closures.
FTC sends warning to 21 insurance marketing companies,2024-12-12T21:44:26-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/ftc-sends-marketing-warning-to-21-insurance-marketing-companies,The article discusses warnings to insurance marketing companies but does not mention any exit events or closures.
One payer CEO's warning about healthcare call centers,2024-12-11T21:28:29-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/one-payer-ceos-warning-about-healthcare-call-centers,The article discusses concerns about call centers and AI integration but does not mention any exit events or closures.
Lawmakers question Dr. Oz's financial ties to Medicare Advantage,2024-12-10T17:45:29-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/lawmakers-question-dr-ozs-financial-ties-to-medicare-advantage,The article discusses concerns about Medicare Advantage and Dr. Oz's qualifications but does not mention any specific exit events or closures.
Insurance CEOs reflect on industry backlash,2024-12-10T17:06:35-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/oscar-ceo-backlash-against-insurance-industry-understandable,The article discusses frustrations with the healthcare system and reactions to a violent incident but does not mention any specific exit events or closures.
Humana in the headlines: 10 updates,2024-12-10T15:46:57-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/humana-in-the-headlines-10-updates-3,The article discusses updates about Humana but does not mention any specific exit events or closures.
Medicare Advantage in the headlines: 10 recent updates,2024-12-09T23:01:11-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage-in-the-headlines-10-recent-updates-16,The article discusses updates and challenges related to Medicare Advantage but does not mention any specific exit events or closures.
Lawmakers weigh proposals to extend ACA subsidies: 5 notes,2024-12-09T16:19:43-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/lawmakers-weigh-proposals-to-extend-aca-subsidies-5-notes,The article discusses proposals to extend ACA subsidies but does not mention any specific exit events or closures.
Layoffs at AHIP,2024-12-09T15:44:07-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/layoffs-at-ahip,The article discusses layoffs at AHIP but does not mention any exit events or closures.
Inside SCAN's AI-powered call center revamp,2024-12-06T20:16:08-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/inside-scans-ai-powered-call-center-revamp,The article discusses improvements in call center operations and AI integration without mentioning any exit events or closures.
10 providers seeking payer contracting talent,2024-12-05T21:35:18-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/10-providers-seeking-payer-contracting-talent-40,"The article lists job openings for providers seeking payer contracting talent, with no mention of exit events or closures."
BCBS Michigan faces 'sharp deterioration' in income: 5 notes,2024-12-04T22:35:50-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/bcbs-michigan-faces-sharp-deterioration-in-income-5-notes,The article discusses financial performance and changes in coverage but does not describe any specific exit events or closures.
UnitedHealthcare CEO shot and killed in New York City,2024-12-04T14:52:32-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/unitedhealthcare-ceo-shot-and-killed-in-new-york-city,The article discusses a violent incident involving the CEO of UnitedHealthcare but does not mention any exit events or closures.
Blue Shield of California taps chief growth officer,2024-12-03T19:04:54-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/blue-shield-of-california-taps-chief-growth-officer,The article does not mention any exit events or closures.
Oscar backs ICHRA startup in $6M funding round,2024-12-03T14:58:55-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/oscar-backs-ichra-startup-in-6m-funding-round,The article discusses funding and growth of a startup without mentioning any exit events or closures.
How do you know if your company’s culture strategy is missing the mark?,2024-12-02T21:16:49-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/how-do-you-know-if-your-company-s-culture-strategy-is-missing-the-mark,The article discusses DEI initiatives and benchmarking participation without mentioning any exit events or closures.
States ranked by coverage losses if ACA subsidies expire,2024-12-02T20:29:02-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/states-ranked-by-coverage-losses-if-aca-subsidies-expire,The article discusses potential coverage losses due to the expiration of ACA subsidies but does not describe any specific exit events or closures.
The largest commercial insurer in every state | 2024,2024-12-02T16:48:30-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/the-largest-commercial-insurer-in-every-state-2024,The article discusses market share of insurers without mentioning any exit events or closures.
Aetna employee sentenced to 5 years for claims fraud,2024-12-02T14:59:08-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/aetna-employee-sentenced-to-5-years-for-claims-fraud,The article discusses insurance fraud involving Aetna employees but does not mention any exit events or closures.
What are the insurance commissioners talking about? 5 healthcare notes,2024-11-27T18:42:39-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/what-are-the-insurance-commissioners-talking-about-5-healthcare-notes,The article discusses various healthcare topics but does not mention any specific exit events or closures.
UnitedHealthcare beats CMS in Medicare Advantage star ratings lawsuit,2024-11-25T15:06:14-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/unitedhealthcare-beats-cms-in-medicare-advantage-star-ratings-lawsuit,The article discusses a lawsuit regarding Medicare Advantage star ratings but does not mention any exit events or closures.
Closing behavioral health gaps: How integrated insights reduce ER costs + boost ROI,2024-11-22T16:57:58-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/closing-behavioral-health-gaps-how-integrated-insights-reduce-er-costs-boost-roi,The article discusses payer engagement strategies and outcomes but does not mention any exit events or closures.
How much each state has spent to expand Medicaid,2024-11-22T16:50:30-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/how-much-each-state-has-spent-to-expand-medicaid,The article discusses Medicaid spending and expansion but does not mention any specific exit events or closures.
The cities with the least competitive Medicare Advantage markets | 2024,2024-11-21T22:30:59-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/the-cities-with-the-least-competitive-medicare-advantage-markets-2024,The article discusses competition in Medicare Advantage markets without mentioning any specific exit events or closures.
States ranked by Medicare Advantage offerings in 2025,2024-11-21T22:07:34-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/states-ranked-by-medicare-advantage-offerings-in-2025,The article discusses Medicare Advantage offerings but does not mention any specific exit events or closures.
The largest Medicare Advantage insurer by state,2024-11-21T22:00:25-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/the-largest-medicare-advantage-insurer-by-state,The article discusses market share of Medicare Advantage insurers without mentioning any exit events or closures.
California aims for insurers to spend 15% on primary care by 2034: 8 notes,2024-11-21T20:34:33-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/california-aims-for-insurers-to-spend-15-on-primary-care-by-2034-8-notes,The article discusses spending benchmarks and policies but does not mention any specific exit events or closures.
The cities with the most competitive Medicare Advantage markets | 2024,2024-11-20T23:38:09-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/the-cities-with-the-most-competitive-medicare-advantage-markets-2024,The article discusses market share and competition in Medicare Advantage but does not mention any specific exit events or closures.
The states with the least competitive commercial insurance markets | 2024,2024-11-20T21:52:09-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/the-states-with-the-least-competitive-commercial-insurance-markets-2024,The article discusses market concentration in health insurance but does not mention any specific exit events or closures.
Dr. Oz on Medicare Advantage: 5 things to know,2024-11-20T21:45:59-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/dr-oz-on-medicare-advantage-5-things-to-know,The article discusses proposals and opinions regarding Medicare Advantage but does not mention any specific exit events or closures.
'A fox in the henhouse': Owens & Minor sues Anthem in latest data transparency lawsuit,2024-11-20T21:28:52-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/a-fox-in-the-henhouse-owens-minor-sues-anthem-in-latest-data-transparency-lawsuit,The article discusses a lawsuit related to data transparency and financial mismanagement but does not mention any exit events or closures.
UnitedHealth Group in the headlines: 12 updates,2024-11-20T19:39:44-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/unitedhealth-group-in-the-headlines-12-updates-6,The article discusses various updates about UnitedHealth Group but does not mention any exit events or closures.
The cities with the most competitive commercial insurance markets | 2024,2024-11-20T15:49:09-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/the-cities-with-the-most-competitive-commercial-insurance-markets-2024,The article discusses market competition and payer market shares without mentioning any specific exit events or closures.
"Molina, Instacart partner on food insecurity program in Michigan",2024-11-19T14:49:59-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/molina-instacart-partner-on-food-insecurity-program-in-michigan,The article discusses a partnership to improve food access for members and does not mention any exit events or closures.
2 Aetna employees arrested in $1.1M fraud scheme,2024-11-18T16:41:25-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/2-aetna-employees-arrested-in-1-1m-fraud-scheme,The article discusses a fraud scheme involving employees of Aetna but does not mention any exit events or closures.
Generative AI will profoundly change healthcare operations,2024-11-18T15:40:22-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/generative-ai-will-profoundly-change-healthcare-operations,The article discusses the impact of generative AI on healthcare operations without mentioning any specific exit events or closures.
"Commercial, individual markets growing increasingly concentrated: 7 numbers to know",2024-11-15T23:18:07-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/commercial-individual-markets-growing-increasingly-concentrated-7-numbers-to-know,The article discusses market concentration but does not mention any specific exit events or closures.
5 benefits Medicare Advantage plans are cutting back for 2025,2024-11-15T22:39:21-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/5-benefits-medicare-advantage-plans-are-cutting-back-for-2025,The article discusses changes in supplemental benefits for Medicare Advantage plans but does not describe any specific exit events or closures.
Value-based models picked up steam in 2023: 5 numbers to know,2024-11-14T23:08:39-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/value-based-models-picked-up-steam-in-2023-5-numbers-to-know,The article discusses healthcare spending trends and does not mention any specific exit events or closures.
How to build a safe path to AI in Healthcare,2024-11-14T17:58:44-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/how-to-build-a-safe-path-to-ai-in-healthcare,The article discusses AI in healthcare without mentioning any exit events or closures.
States ranked by total Medicare Part D enrollment,2024-11-14T14:27:29-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/states-ranked-by-total-medicare-part-d-enrollment,The article provides enrollment data for Medicare Part D but does not mention any exit events or closures.
Why Elevance Health cut some Medicare Advantage broker commissions,2024-11-14T00:42:42-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/why-elevance-health-cut-some-medicare-advantage-broker-commissions,The article discusses changes in broker commissions and market disruptions but does not describe any specific exit events or closures.
HHS sued over Medicare Advantage audit records,2024-11-14T00:32:47-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/hhs-sued-over-medicare-advantage-audit-records,The article discusses a lawsuit related to Medicare Advantage audits but does not mention any exit events or closures.
10 providers seeking payer contracting talent,2024-11-12T14:38:33-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/10-providers-seeking-payer-contracting-talent-39,The article lists job openings for payer contracting positions and does not mention any exit events or closures.
Centene CEO buys 4K+ shares of company stock,2024-11-11T19:44:00-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/centene-ceo-buys-4-000-shares-of-company-stock,The article does not mention any exit events or closures.
Medicare Advantage plans ramp up lobbying efforts,2024-11-11T18:05:20-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage-plans-ramp-up-lobbying-efforts,The article discusses changes in Medicare Advantage plans and benefits but does not describe any specific exit events or closures.
California fines Spring Health $1M for selling unapproved health plan,2024-11-11T16:31:18-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/california-fines-spring-health-1m-for-selling-unapproved-health-plan,The article discusses a fine for operating an unlicensed health plan but does not mention any exit events or closures.
The payer mix of each state,2024-11-08T19:49:59-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/the-payer-mix-of-each-state,The article discusses payer mix statistics without mentioning any exit events or closures.
"Centene boosts medication adherence, lowers Medicaid costs through mobile app: Study",2024-11-08T15:12:00-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/centene-boosts-medication-adherence-lowers-medicaid-costs-through-mobile-app-study,The article discusses a study on medication adherence and cost savings but does not mention any exit events or closures.
"Optum, Aetna agree to settle 'dummy code' lawsuit",2024-11-08T14:53:15-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/optum-aetna-agree-to-settle-dummy-code-lawsuit,The article discusses a lawsuit settlement between Aetna and Optum but does not mention any exit events or closures.
What Trump's 2nd term could mean for Medicare Advantage,2024-11-07T14:30:03-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/what-trumps-2nd-term-could-mean-for-medicare-advantage,The article discusses Medicare Advantage policies and potential impacts but does not mention any specific exit events or closures.
How CVS Health's new CEO plans to shore up Aetna's finances: 6 notes,2024-11-07T00:14:15-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/how-cvs-healths-new-ceo-plans-to-shore-up-aetnas-finances-5-notes,The article discusses changes in benefit design and membership expectations but does not describe any specific exit events or closures.
South Dakota passes Medicaid work requirement measure,2024-11-06T21:52:09-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/south-dakota-passes-medicaid-work-requirement-measure,The article discusses a Medicaid work requirement measure but does not mention any exit events or closures.
Medicare Advantage stocks soar following Trump win,2024-11-06T16:02:45-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage-stocks-soar-following-trump-win,The article discusses market expectations and stock performance but does not mention any specific exit events or closures.
California passes permanent managed care tax,2024-11-06T15:01:33-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/california-passes-permanent-managed-care-tax,The article discusses a managed care tax and its implications for Medicaid funding but does not mention any exit events or closures.
Medicare Advantage plans received $1B for veteran enrollees using no benefits: Study,2024-11-05T22:53:09-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage-plans-received-1b-for-veteran-enrollees-using-no-benefits-study,The article discusses enrollment trends and payment issues related to Medicare Advantage plans but does not mention any exit events or closures.
States ranked by employer-sponsored health coverage,2024-11-05T15:40:20-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/states-ranked-by-employer-sponsored-health-coverage,The article discusses employer-sponsored health coverage statistics without mentioning any specific exit events or closures.
Payers push into home health: 5 things to know,2024-11-04T22:39:56-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/payers-push-into-home-health-5-things-to-know,The article discusses acquisitions and expansions in home health but does not mention any exit events or closures.
Why a 5-star Medicare Advantage plan takes a 'grassroots' approach to marketing,2024-11-04T19:19:43-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/why-a-5-star-medicare-advantage-plan-takes-a-grassroots-approach-to-marketing,The article discusses a Medicare Advantage plan's performance and strategies but does not mention any exit events or closures.
BCBS Minnesota settles with state over mental health access,2024-11-04T18:28:17-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/bcbs-minnesota-settles-with-state-over-mental-health-access,The article discusses a settlement regarding compliance with mental health parity laws but does not mention any exit events or closures.
Elevance Health latest insurer to sue over Medicare Advantage star ratings,2024-11-01T21:27:45-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/elevance-health-latest-insurer-to-sue-over-medicare-advantage-star-ratings,The article discusses a lawsuit regarding Medicare Advantage star ratings but does not mention any exit events or closures.
"Aetna, Elevance, Cigna cut some Medicare Advantage broker payments",2024-11-01T21:25:23-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/aetna-elevance-cut-some-medicare-advantage-broker-payments,The article discusses changes in commission payments for Medicare Advantage plans but does not describe any exit events or closures.
What's new for ACA enrollment: 3 notes,2024-11-01T13:58:14-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/whats-new-for-aca-enrollment-3-notes,The article discusses ACA enrollment changes and regulations but does not mention any exit events or closures.
"8 recent payer lawsuits, settlements",2024-11-01T13:45:19-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/8-recent-payer-lawsuits-settlements-3,The article discusses lawsuits and settlements involving payers but does not mention any exit events or closures.
Humana braces for tougher Medicare Advantage star ratings environment: 5 notes,2024-10-30T22:42:10-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/humana-braces-for-tougher-medicare-advantage-star-ratings-environment-5-notes,The article discusses changes in star ratings and company performance but does not mention any specific exit events or closures.
5 updates on the 2-midnight rule,2024-10-30T21:00:00-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/5-updates-on-the-2-midnight-rule,The article discusses issues related to the two-midnight rule and denials in the Medicare Advantage market but does not mention any specific exit events or closures.
Centene in the headlines: 10 updates,2024-10-30T18:37:18-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/centene-in-the-headlines-10-updates-2,The article does not describe any exit events or closures.
"Humana: Why payers, providers aren't aligned on 2-midnight trends",2024-10-30T18:36:19-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/humana-why-payers-providers-arent-aligned-on-2-midnight-trends,The article discusses regulatory changes and their impact on payer-provider relationships but does not mention any specific exit events or closures.
States ranked by average ACA benchmark premium,2024-10-29T19:06:20-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/states-ranked-by-average-aca-benchmark-premium,The article discusses ACA benchmark premiums without mentioning any exit events or closures.
What 10 Medicare Advantage insurers earn from health risk assessments,2024-10-29T19:06:14-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/what-10-medicare-advantage-insurers-earn-from-health-risk-assessments,The article discusses Medicare Advantage insurers and health risk assessments but does not mention any exit events or closures.
Limited health literacy is a $4.8 billion dollar issue for payers — Here's how we address it,2024-10-29T18:17:44-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/limited-health-literacy-is-a-4-8-billion-dollar-issue-for-payers-heres-how-we-address-it,The article discusses health literacy and organizational improvements but does not mention any exit events or closures.
Why low Medicare Advantage star ratings can lead to a 'Darwinian death spiral',2024-10-28T21:34:00-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/why-low-medicare-advantage-star-ratings-can-lead-to-a-darwinian-death-spiral,The article discusses Medicare Advantage star ratings and their impact on plans but does not mention any specific exit events or closures.
Insurers call OIG Medicare Advantage audit 'misleading',2024-10-25T21:19:45-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/insurers-call-oig-medicare-advantage-audit-misleading,The article discusses an audit of Medicare Advantage companies and their practices but does not mention any specific exit events or closures.
Behind the Maternal and Mental Health Neglect Medicaid Patients Face,2024-10-25T21:10:53-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/behind-the-maternal-and-mental-health-neglect-medicaid-patients-face,The article discusses healthcare disparities and challenges faced by Medicaid patients but does not mention any specific exit events or closures.
Some Medicaid challenges ease for Centene: 5 things to know,2024-10-25T19:24:45-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicaid-challenges-ease-for-centene-5-things-to-know,The article discusses Medicaid challenges and reimbursement rates but does not mention any specific exit events or closures.
"1 phone call cost Centene $73 million, lawsuit alleges",2024-10-23T21:38:43-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/one-phone-call-cost-centene-73-million-lawsuit-alleges,The article discusses a lawsuit regarding star ratings and does not mention any exit events or closures.
Humana in the headlines: 10 updates,2024-10-23T16:59:37-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/humana-in-the-headlines-10-updates-2,The article does not mention any specific exit events or closures.
UnitedHealth to pay $20M to settle emergency claims lawsuit from Labor Department,2024-10-23T13:30:00-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/labor-department-unitedhealth-settle-alleged-emergency-claims-issues-2,The article discusses a lawsuit settlement regarding claims procedures but does not mention any exit events or closures.
Oscar Health introduces new plans for 2025: 3 notes,2024-10-22T21:08:46-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/oscar-health-introduces-new-plans-for-2025-3-notes,The article discusses new plans and market expansions but does not mention any exit events or closures.
10 providers seeking payer contracting talent,2024-10-21T16:09:35-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/10-providers-seeking-payer-contracting-talent-38,The article lists job openings at various healthcare providers and does not mention any exit events or closures.
Medicare Advantage star ratings under scrutiny as challenges from payers mount,2024-10-18T20:24:03-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/more-payers-challenge-medicare-advantage-star-ratings,The article discusses challenges to Medicare Advantage star ratings and lawsuits from payers but does not mention any exit events or closures.
Medicaid rates put smaller plans at risk: ACHP,2024-10-18T14:18:10-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicaid-rates-put-smaller-plans-at-risk-achp,The article discusses financial challenges faced by Medicaid plans but does not mention any specific exit events or closures.
Elevance faces 'unprecedented' Medicaid challenges: 7 things to know,2024-10-17T19:33:50-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/elevance-faces-unprecedented-medicaid-challenges-7-things-to-know,The article discusses Medicaid membership changes and financial outlook but does not describe any specific exit events or closures.
Senator demands more answers from UnitedHealth over Change Healthcare cyberattack,2024-10-17T19:06:12-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/senator-demands-more-answers-from-unitedhealth-over-change-healthcare-cyberattack,The article discusses a cyberattack and oversight but does not mention any exit events or closures.
Best Medicare Part D plans for 2025: US News,2024-10-16T14:09:05-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/best-medicare-part-d-plans-in-2025-us-news,The article discusses Medicare Part D plans and ratings but does not mention any exit events or closures.
Best Medicare Advantage plans for 2025: US News,2024-10-16T13:48:43-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/best-medicare-advantage-plans-for-2025-us-news,The article discusses Medicare Advantage plans and ratings but does not mention any exit events or closures.
UnitedHealth sees rising costs from Inflation Reduction Act: 10 notes,2024-10-15T20:55:46-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/unitedhealth-sees-rising-costs-from-inflation-reduction-act-10-notes,The article discusses financial performance and trends but does not mention any specific exit events or closures.
Payers ranked by average Medicare Advantage star ratings | 2025,2024-10-14T15:01:04-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/payers-ranked-by-average-medicare-advantage-star-ratings-2025,The article discusses Medicare Advantage star ratings and does not mention any exit events or closures.
24 Medicare Advantage plans rated below 3-stars | 2025,2024-10-11T19:31:05-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/24-medicare-advantage-plans-rated-below-3-stars-2025,The article discusses star ratings for Medicare Advantage plans but does not mention any specific exit events or closures.
7 5-star Medicare Advantage plans | 2025,2024-10-11T13:50:52-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/7-5-star-medicare-advantage-plans-2025,The article discusses Medicare Advantage plans and their ratings but does not mention any exit events or closures.
Medicare Advantage star ratings decline: 5 things to know,2024-10-10T21:21:01-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage-star-ratings-decline-5-things-to-know,The article discusses Medicare Advantage star ratings and their implications but does not mention any specific exit events or closures.
