article_title,article_published_dt,article_section,article_source,link,event_index,status,provider,payer,market,program,effective_date,states,geography_detail,reason,member_impact,summary,record_type,event_type
"'It's like a shakedown': Payers, providers ditch the hushed voices in their fights",2022-11-15T14:49:00-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/its-like-a-shakedown-payers-providers-ditch-the-hushed-voices-in-their-fights,1,Active Exit,University of Mississippi Medical Center,BCBS,Unknown,,2022-04-01,MS,Mississippi,Disagreement over reimbursement rates,"750,000 people in Mississippi have little to no access to covered healthcare.","Since April 1, the University of Mississippi Medical Center and BCBS have been out of network due to a disagreement over reimbursement rates. This has significantly impacted access to healthcare for 750,000 people in Mississippi.",exit,provider_payer_exit
"CDPHP, St. Peter's Health Partners, trade jabs in contract dispute that could affect thousands",2022-11-11T21:01:50-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/cdphp-st-peters-health-partners-trade-jabs-in-contract-dispute-that-could-affect-thousands,1,Planned Exit,St. Peter’s Health Partners,CDPHP,Unknown,,2022-12-31,NY,Albany region,Contract agreement not reached,Thousands of patients could be affected,St. Peter’s Health Partners has warned patients that they could be out of network with CDPHP if a contract agreement is not reached by December 31. This situation could affect thousands of patients in the Albany region.,exit,provider_payer_exit
5 ongoing payer-provider contract disputes,2022-11-11T19:13:24-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/5-ongoing-payer-provider-contract-disputes,1,Planned Exit,Lehigh Valley Health Network,Aetna,,,2023-03-13,,"Allentown, PA",Provider accused payer of refusing to pay for patients’ care and denying or delaying care.,Thousands of patients affected.,"Lehigh Valley Health Network will terminate its agreements with most Aetna plans after March 13, 2023, if a resolution is not reached. The health system claims Aetna has been denying or delaying care.",exit,provider_payer_exit
5 ongoing payer-provider contract disputes,2022-11-11T19:13:24-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/5-ongoing-payer-provider-contract-disputes,2,Planned Exit,SUNY Upstate University Hospital,UnitedHealthcare,,,2022-12-31,NY,"Syracuse, NY",,"20,000 patients could be out of network.","If a new contract is not reached before December 31, 2022, SUNY Upstate University Hospital will be out of network with UnitedHealthcare, potentially affecting 20,000 patients.",exit,provider_payer_exit
5 ongoing payer-provider contract disputes,2022-11-11T19:13:24-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/5-ongoing-payer-provider-contract-disputes,3,Planned Exit,Aspirus Health,Anthem Blue Cross Blue Shield,,,2022-12-31,WI,"Wausau, WI",Negotiations stalled.,,"Aspirus Health will be out of network with Anthem Blue Cross Blue Shield if a new contract agreement is not reached by December 31, 2022. The health system has warned members that negotiations are stalled.",exit,provider_payer_exit
5 ongoing payer-provider contract disputes,2022-11-11T19:13:24-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/5-ongoing-payer-provider-contract-disputes,4,Resolved,University of Mississippi Medical Center,Blue Cross Blue Shield of Mississippi,,,,MS,"Jackson, MS",,,The University of Mississippi Medical Center and Blue Cross Blue Shield of Mississippi went out of network more than six months ago and remain without a contract. Mediation efforts have been suspended indefinitely.,exit,provider_payer_exit
"Aetna, Lehigh Valley Health Network dispute will leave thousands out of network",2022-11-10T20:57:40-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/aetna-lehigh-valley-health-network-dispute-will-leave-thousands-out-of-network,1,Planned Exit,Lehigh Valley Health Network,Aetna,"Medicare Advantage, Medicaid, Commercial",,2023-03-13,PA,Eastern Pennsylvania,Contract break due to Aetna's refusal to pay for patients’ care and denying or delaying care.,Tens of thousands of patients will be affected.,"Lehigh Valley Health Network will no longer accept most Aetna plans after March 13, 2023, impacting Medicare Advantage, Medicaid, and commercial coverage. The health system has been in dispute with Aetna since 2017 over payment issues.",exit,provider_payer_exit
"BCBS Illinois, Springfield Clinic dispute still unresolved 1 year later",2022-11-04T20:52:57-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/bcbs-illinois-springfield-clinic-dispute-still-unresolved-1-year-later,1,Active Exit,Springfield Clinic,BCBS Illinois,Multiple,,2021-11-17,IL,"Springfield, central Illinois counties",Increasing medical costs drove tense contract negotiations.,"55,000 to 110,000 patients affected.","Springfield Clinic has been out of network with BCBS Illinois since November 17, 2021, due to ongoing contract negotiations driven by increasing medical costs. The number of affected patients is disputed, with estimates ranging from 55,000 to 110,000.",exit,provider_payer_exit
"UnitedHealthcare, Upstate University Hospital dispute could affect 20,000 patients",2022-11-03T21:13:26-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/unitedhealthcare-upstate-university-hospital-dispute-could-affect-20-000-patients,1,Planned Exit,Upstate University Hospital,UnitedHealthcare,Medicare Advantage,Dual Special Needs Plan,2023-02-28,NY,,Dispute over significant price increase sought by Upstate.,"Affects 20,000 patients enrolled in community plans.","UnitedHealthcare is in a dispute with Upstate University Hospital over a significant price increase. The hospital is seeking a 25 percent increase over the next three years. A cooling-off period has been agreed upon, allowing beneficiaries to maintain in-network coverage through February 28, 2023.",exit,provider_payer_exit
"Broward Health, UnitedHealthcare strike new deal after terminating contract",2022-11-01T14:09:09-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/broward-health-unitedhealthcare-strike-new-deal-after-terminating-contract,1,Resolved,Broward Health,UnitedHealthcare,Medicare Advantage | Medicaid | Multiple,,2022-11-01,,,The two sides were unable to come to an agreement on a new contract.,Restores network access for UnitedHealthcare members.,"Broward Health was out of network with UnitedHealthcare since April 1 due to a contract disagreement. A new agreement was reached, effective November 1, restoring access for members across various plans.",exit,provider_payer_exit
"BCBS Texas, Baptist St. Anthony settle on new contract",2022-10-31T20:18:01-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/bcbs-texas-baptist-st-anthony-settle-on-new-contract,1,Resolved,Baptist St. Anthony,BCBS,Unknown,,,,,Agreement reached to avoid going out of network.,Members of all BCBS plans maintain in-network access.,"Baptist St. Anthony was set to go out of network with BCBS if a new agreement was not reached by Dec. 7. An agreement was reached on Oct. 31, ensuring in-network access for BCBS members.",exit,provider_payer_exit
7 recently inked payer-provider contracts,2022-10-28T20:29:25-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/5-recently-inked-payer-provider-contracts,1,Resolved,Covenant Health,Aetna,Multiple,,2022-10-01,TX,,Previous contract expired,"Almost 9,000 individuals without in-network coverage","Covenant Health and Aetna ended their dispute over reimbursement rates and signed an in-network contract effective October 1, 2022. The previous contract expired on August 31, leaving almost 9,000 individuals without in-network coverage.",exit,provider_payer_exit
"Aspirus Health, Anthem Blue Cross negotiations 'stalled'",2022-10-27T17:20:44-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/aspirus-health-anthem-blue-cross-negotiations-stalled,1,Active Exit,Aspirus Health,Anthem Blue Cross,Multiple,,,"WI,MI",,Aspirus terminated its contract with Anthem to prevent auto-renewal.,Concerns that Aspirus will not accept Anthem Medicare and Medicaid members.,Aspirus Health has terminated its contract with Anthem Blue Cross to prevent auto-renewal. The health system is negotiating for higher reimbursement rates. There are concerns regarding the acceptance of Anthem Medicare and Medicaid members.,exit,provider_payer_exit
'It's like a shakedown': Insurance commissioner addresses U of Mississippi-BCBS impasse,2022-10-27T16:53:08-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/its-like-a-shakedown-insurance-commissioner-addresses-u-of-mississippi-bcbs-impasse,1,Active Exit,University of Mississippi Medical Center,Blue Cross Blue Shield,Unknown,,,,,Contract ended on April 1.,"Covers 750,000 people out of network.","The University of Mississippi Medical Center and Blue Cross Blue Shield have been without a contract since April 1. The impasse has left 750,000 people covered by BCBS out of network with the university hospital.",exit,provider_payer_exit
"Lawmakers press CareFirst, Johns Hopkins on contracting dispute",2022-10-21T16:57:01-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/lawmakers-press-carefirst-johns-hopkins-on-contracting-dispute,1,Planned Exit,Johns Hopkins Health System,CareFirst,Commercial,,2022-12-05,MD,,Breakdown in negotiations between Johns Hopkins and CareFirst.,"Nearly 40,000 providers will be out-of-network for CareFirst members.","Johns Hopkins Health System will be out of network with CareFirst on December 5 if an agreement is not reached. This could impact nearly 40,000 providers and 300,000 CareFirst members.",exit,provider_payer_exit
"Mediations suspended 6 months in: Tracking the BCBS, U of Mississippi dispute",2022-10-19T15:42:10-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/mediations-suspended-6-months-in-tracking-the-bcbs-u-of-mississippi-dispute,1,Active Exit,U of Mississippi medical center,BCBS of Mississippi,Unknown,,2022-04-01,MS,,The parties were unable to agree on a new contract.,"More than 50,000 patients with a qualifying BCBS plan received care at the medical center facility.","On April 1, BCBS of Mississippi dropped the U of Mississippi medical center’s hospitals, clinics, and physicians from its network after failing to agree on a new contract. This decision impacts over 50,000 patients who have received care at the facility.",exit,provider_payer_exit
4 ongoing payer-provider contract disputes,2022-10-18T20:35:17-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/4-ongoing-payer-provider-contract-disputes,1,Planned Exit,Johns Hopkins Health System,CareFirst BlueCross BlueShield,,,2022-12-05,MD,,,,Johns Hopkins Health System will go out of network with CareFirst BlueCross BlueShield if the two sides are unable to agree on a contract by December 5.,exit,provider_payer_exit
4 ongoing payer-provider contract disputes,2022-10-18T20:35:17-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/4-ongoing-payer-provider-contract-disputes,2,Resolved,University of Mississippi Medical Center,Blue Cross Blue Shield of Mississippi,,,,MS,,,,"University of Mississippi Medical Center has been out of network with Blue Cross Blue Shield of Mississippi since April 1, but an agreement is expected to be reached soon.",exit,provider_payer_exit
4 ongoing payer-provider contract disputes,2022-10-18T20:35:17-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/4-ongoing-payer-provider-contract-disputes,3,Active Exit,WakeMed,UnitedHealthcare,,,2022-06-01,NC,,,,"WakeMed has been out of network with UnitedHealthcare since June 1, with progress being made in negotiations.",exit,provider_payer_exit
4 ongoing payer-provider contract disputes,2022-10-18T20:35:17-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/4-ongoing-payer-provider-contract-disputes,4,Planned Exit,Baptist St. Anthony Health System,Blue Cross and Blue Shield of Texas,,,2022-12-07,TX,,,,Baptist St. Anthony Health System will go out of network with Blue Cross and Blue Shield of Texas on December 7 if the sides are unable to agree on a new contract.,exit,provider_payer_exit
"10,000 patients out of network in Duke-UnitedHealthcare dispute",2022-10-18T18:07:57-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/10-000-patients-out-of-network-in-duke-unitedhealthcare-dispute,1,Active Exit,Duke,UnitedHealthcare,Unknown,,,,,Duke decided to discontinue the plan’s network affiliation.,"About 10,000 patients affected.","Duke has discontinued its network affiliation with UnitedHealthcare, affecting approximately 10,000 patients. The expiration of the contract has led to this active exit, although discussions for renewal have been ongoing for almost a year.",exit,provider_payer_exit
Oklahoma hospital terminates Medicare Advantage contracts amid financial challenges,2022-10-17T21:49:45-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/oklahoma-hospital-terminates-medicare-advantage-contracts-amid-financial-challenges,1,Planned Exit,Stillwater Medical Center,Humana,Medicare Advantage,,2023-01-01,OK,Payne County,Rising operating costs and high prior authorization burden for the MA plans.,Members will no longer receive in-network coverage.,"Stillwater Medical Center has terminated its contracts with Humana and BCBS of Oklahoma for Medicare Advantage plans, effective January 1, 2023. This decision was made due to rising operating costs and a high prior authorization burden. Members will lose in-network coverage, impacting local access to providers.",exit,provider_payer_exit
"ProMedica's Paramount and McLaren St. Luke's settle lawsuit, ink contract",2022-10-12T17:43:06-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/promedicas-paramount-and-mclaren-st-lukes-settle-lawsuit-ink-contract,1,Resolved,McLaren St. Luke's,Paramount Health Plan,Medicare Advantage,,2020-10-01,OH,Maumee,Termination of contract,Paramount Medicare Advantage plan members will receive services in-network from McLaren St. Luke’s starting Oct. 10.,"ProMedica's Paramount Health Plan terminated its contract with McLaren St. Luke's in October 2020. Following a lawsuit, the organizations have settled, allowing Paramount Medicare Advantage plan members to receive in-network services from McLaren St. Luke’s starting October 10.",exit,provider_payer_exit
"BCBS, U of Mississippi Medical Center contract mediations 'suspended indefinitely'",2022-10-12T16:14:34-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/bcbs-u-of-mississippi-medical-center-contract-mediations-suspended-indefinitely,1,Active Exit,U of Mississippi Medical Center,BCBS,Commercial,,2022-04-01,MS,Jackson,Inability to agree on provider reimbursement rates.,"Around 750,000 Mississippi residents affected.","BCBS and U of Mississippi Medical Center have been out of network since April 1 due to a dispute over reimbursement rates. Approximately 750,000 residents in Mississippi are impacted by this situation.",exit,provider_payer_exit
"Aetna, Covenant Health end dispute, ink contract",2022-10-07T18:59:38-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/aetna-covenant-health-end-dispute-ink-contract,1,Resolved,Covenant Health,Aetna,Unknown,,2022-08-31,"TX,NM",,Contract expired,"Almost 9,000 individuals without in-network coverage","The contract between Aetna and Covenant Health expired on August 31, leaving nearly 9,000 individuals without in-network coverage. Aetna members who received care at Covenant during the lapse will receive retroactive coverage.",exit,provider_payer_exit
10 Medicaid contract updates,2022-10-05T21:40:22-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/10-medicaid-contract-updates,1,Active Exit,,Blue Shield of California,Medicaid,,,CA,all 13 counties where it bid,lost Medi-Cal contracts,,Blue Shield of California lost Medi-Cal contracts in all 13 counties where it bid and has filed an appeal with the state’s Health Care Services Department.,exit,payer_market_exit
"Mississippi insurance commissioner pushes for new regulations amid Blue Cross, UMMC dispute",2022-10-05T20:00:28-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/mississippi-insurance-commissioner-pushes-for-new-regulations-admid-blue-cross-ummc-dispute,1,Active Exit,University of Mississippi Medical Center,Blue Cross Blue and Shield of Mississippi,,,2022-04-01,MS,,Dispute over reimbursement rates,,"The University of Mississippi Medical Center has been out of network with Blue Cross Blue and Shield of Mississippi since April 1, 2022, due to a dispute over reimbursement rates. The two parties have not yet agreed to a new contract.",exit,provider_payer_exit
"Southwestern Health Resources, BCBS of Texas reach new contract",2022-10-04T14:29:04-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/southwestern-health-resources-bcbs-of-texas-reach-new-contract,1,Planned Exit,Southwestern Health Resources,BCBS of Texas,Unknown,,2022-10-03,TX,,The health system was set to leave the payer’s network due to disagreements over reimbursement rates.,The system serves more than 7 million people.,"Southwestern Health Resources was set to exit BCBS of Texas's network on October 3, 2022, due to disputes over reimbursement rates. The health system operates 29 hospitals and serves over 7 million people.",exit,provider_payer_exit
North Carolina provider Tryon drops Humana Medicare Advantage members,2022-10-03T16:45:54-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/north-carolina-provider-tryon-drops-humana-medicare-advantage-members,1,Active Exit,Tryon Medical,Humana,Medicare Advantage,,,NC,,Tryon Medical drops Humana Medicare Advantage members who are not state retirees.,"Humana Medicare Advantage members who are not state retirees will not be able to see providers at Tryon, and members with PPO plans will face higher copays.",Tryon Medical has dropped Humana Medicare Advantage members who are not state retirees. This change affects members' ability to see providers at Tryon and may result in higher costs for some members.,exit,provider_payer_exit
Southwestern Health Resources seeks $900M increase from BCBS Texas,2022-09-30T13:49:14-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/southwestern-health-resources-seeks-900m-increase-from-bcbs-texas,1,Planned Exit,Southwestern Health Resources,Blue Cross and Blue Shield of Texas,Commercial,,2022-10-03,TX,Dallas-Fort Worth metroplex,Contract negotiations not reaching an agreement,Potential out-of-network status for members,"Southwestern Health Resources will be out of network with Blue Cross and Blue Shield of Texas if a new contract is not reached by October 3, 2022. This situation arises from ongoing negotiations regarding a proposed price increase.",exit,provider_payer_exit
9 new payer-provider contracts,2022-09-29T21:49:28-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/9-new-payer-provider-contracts,1,Resolved,Pennsylvania State University,Aetna,,,2023-01-01,PA,,"The university dropped Aetna, who had administered its health benefits for the last five years.","39,000 people employed by Pennsylvania State University.","Pennsylvania State University dropped Aetna as its health benefits provider after five years. The change will take effect next year, impacting 39,000 employees.",exit,provider_payer_exit
Illinois health system won't commit to see Aetna Medicare Advantage members without a contract,2022-09-28T21:38:49-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/illinois-health-system-wont-commit-to-see-aetna-medicare-advantage-members-without-a-contract,1,Planned Exit,Carle Health,Aetna,Medicare Advantage,,,IL,Champaign-Urbana,Carle Health has historical challenges with Aetna and will only treat Aetna members if a fair contract is offered.,,Carle Health is currently not committing to see Aetna Medicare Advantage members without a contract. The health system has historical challenges with Aetna and will treat members only if a fair contract is offered.,exit,provider_payer_exit
"BayCare pauses elective surgeries, procedures for Florida Blue members as contract expiration looms",2022-09-23T16:45:52-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/baycare-pauses-elective-surgeries-procedures-for-florida-blue-members-as-contract-expiration-looms,1,Planned Exit,BayCare,Florida Blue,Commercial,,2022-10-01,FL,Tampa and central Florida region,Contract expiration and inability to reach an agreement on reimbursement rates.,"215,000 patients are expected to lose access.","BayCare is set to exit its contract with Florida Blue on October 1, affecting 215,000 patients in the Tampa and central Florida region. The exit is due to the two parties' failure to agree on reimbursement rates.",exit,provider_payer_exit
5 recent payer-provider contract breaks,2022-09-21T20:59:08-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/5-recent-payer-provider-contract-breaks,1,Active Exit,Baptist St. Anthony Health System,Blue Cross and Blue Shield of Texas,Unknown,,2022-12-07,TX,"Amarillo, Texas",Contract dispute over reimbursement rates.,,Blue Cross and Blue Shield of Texas will no longer have an in-network contract with Baptist St. Anthony Health System after Dec. 7 if the two sides are unable to agree on reimbursement rates.,exit,provider_payer_exit
5 recent payer-provider contract breaks,2022-09-21T20:59:08-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/5-recent-payer-provider-contract-breaks,2,Active Exit,Texas Health Resources,Blue Cross and Blue Shield of Texas,Unknown,,2022-10-03,,"Arlington, Texas",No new agreement reached.,,Texas Health Resources and Blue Cross and Blue Shield of Texas will have no in-network contract with each other after Oct. 3 without a new agreement.,exit,provider_payer_exit
5 recent payer-provider contract breaks,2022-09-21T20:59:08-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/5-recent-payer-provider-contract-breaks,3,Active Exit,Hazel Hawkins Memorial Hospital,Anthem Blue Cross of California,Unknown,,,CA,"Hollister, California",Contract termination.,,Anthem Blue Cross of California and Hazel Hawkins Memorial Hospital have terminated their contract.,exit,provider_payer_exit
5 recent payer-provider contract breaks,2022-09-21T20:59:08-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/5-recent-payer-provider-contract-breaks,4,Active Exit,,Aetna,Unknown,,2022-12-31,OH,,Cancellation of contract with unnamed vendor.,,Aetna canceled a contract with an unnamed vendor that provides transportation to dual-eligible seniors in Ohio following complaints from beneficiaries and the state about no-show rides.,exit,provider_payer_exit
5 recent payer-provider contract breaks,2022-09-21T20:59:08-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/5-recent-payer-provider-contract-breaks,5,Planned Exit,,Highmark Blue Shield,Unknown,,2023-01-01,,,Dropped as health benefits provider.,"39,000 people employed by Penn State University.","Aetna and CVS Caremark were dropped for Highmark Blue Shield as the health benefits provider for the 39,000 people employed by Penn State University starting next year.",exit,payer_market_exit
5 recent payer-provider contract breaks,2022-09-21T20:59:08-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/5-recent-payer-provider-contract-breaks,6,Active Exit,WakeMed,UnitedHealthcare,Unknown,,,NC,"Raleigh, North Carolina",Out of network since June 1.,,UnitedHealthcare and WakeMed have been out of network with each other since June 1.,exit,provider_payer_exit
5 recent payer-provider contract breaks,2022-09-21T20:59:08-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/5-recent-payer-provider-contract-breaks,7,Active Exit,University of Mississippi Medical Center,Blue Cross and Blue Shield of Mississippi,Unknown,,,MS,"Jackson, Mississippi",No new contract reached after mediation.,,Blue Cross and Blue Shield of Mississippi and University of Mississippi Medical Center have yet to reach a new contract more than four months after the sides agreed to a mediator.,exit,provider_payer_exit
5 recent payer-provider contract breaks,2022-09-21T20:59:08-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/5-recent-payer-provider-contract-breaks,8,Active Exit,University of Mississippi Medical Center,,Unknown,,2022-04-01,MS,,Went out of network with BCBS.,,UMMC went out of network with BCBS on April 1.,exit,provider_market_exit
"Blue Cross, U of Mississippi Medical Center remain at impasse months after agreeing to mediation",2022-09-21T15:27:11-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/blue-cross-u-of-mississippi-medical-center-remain-at-impasse-months-after-agreeing-to-mediation,1,Active Exit,University of Mississippi Medical Center,Blue Cross Blue Shield,Unknown,,2022-04-01,MS,,Contract termination,,"The University of Mississippi Medical Center went out of network with Blue Cross Blue Shield on April 1, 2022, due to a contract termination. Mediation efforts have been ongoing since then, but there is no update on the proceedings.",exit,provider_payer_exit
"BCBS Texas, Southwestern Health Resources ending in-network services Oct. 3",2022-09-20T22:00:15-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/bcbs-texas-health-resources-ending-in-network-services-oct-3,1,Planned Exit,Southwestern Health Resources,BCBS Texas,Multiple,,2022-10-03,TX,northern part of Texas,Failure to reach an agreement over reimbursement rates,"Up to 450,000 people without in-network coverage","Southwestern Health Resources will go out of network with BCBS Texas if an agreement over reimbursement rates is not reached by October 3, 2022. This could leave up to 450,000 people in northern Texas without in-network coverage.",exit,provider_payer_exit
"California hospital, Anthem terminate contract",2022-09-20T16:44:31-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/california-hospital-anthem-terminate-contract,1,Active Exit,Hazel Hawkins Hospital,Anthem,,,,,,Contract termination due to compensation disputes.,,Hazel Hawkins Hospital has terminated its contract with Anthem after a prolonged dispute over compensation rates. The hospital claims that Anthem pays other hospitals more than it compensates them.,exit,provider_payer_exit
"Dec. 7 looms as breaking point for BCBS Texas, health system",2022-09-19T20:07:51-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/dec-7-looms-as-breaking-point-for-bcbs-texas-health-system,1,Planned Exit,Baptist St. Anthony,Blue Cross Blue Shield of Texas,Commercial,,,TX,Amarillo,"Extraordinary cost pressures around labor, supplies and inflation.",,Baptist St. Anthony is seeking a new contract with Blue Cross Blue Shield of Texas due to extraordinary cost pressures. The health system aims to negotiate reimbursement that reflects these additional costs.,exit,provider_payer_exit
Molina Healthcare gets largest Medicaid contract with California deal,2022-09-12T18:09:30-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/molina-healthcare-gets-largest-medicaid-contract-with-california-deal,1,Active Exit,,HealthPlans,Medicaid,,,CA,"['Los Angeles', 'Sacramento']",HealthPlans' exit from Los Angeles and Sacramento counties.,significant disruption to members and providers,"HealthPlans is exiting the Medicaid market in Los Angeles and Sacramento counties, which will significantly disrupt members and providers. The exit is currently active.",exit,payer_market_exit
'Quick resolution' to WakeMed-UnitedHealthcare dispute not expected,2022-09-09T15:44:53-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/quick-resolution-to-wakemed-unitedhealthcare-dispute-not-expected,1,Temporary Disruption,WakeMed,UnitedHealthcare,,,,,,Payment practice language regarding medically necessary treatments.,Patients must plan for longer-term disruption and increased financial responsibility.,WakeMed issued a termination notice to UnitedHealthcare in November 2021 due to disputes over payment practices. Patients are advised to prepare for longer-term disruptions and increased costs when seeking care from WakeMed.,exit,provider_payer_exit
Johns Hopkins to go out of network with CareFirst on Dec. 5 without new contract,2022-09-08T20:52:52-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/johns-hopkins-to-go-out-of-network-with-carefirst-on-dec-5-without-new-contract,1,Planned Exit,Johns Hopkins Health System,CareFirst,Commercial,,2022-12-05,MD,,Unable to reach an agreement over rates and costs.,,Johns Hopkins Health System will go out of network with CareFirst on December 5 due to disagreements over rate increases and costs associated with patient bills.,exit,provider_payer_exit
Penn State drops Aetna for Highmark to administer employee health plan,2022-09-07T19:42:50-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/penn-state-drops-aetna-for-highmark-to-administer-employee-health-plan,1,Active Exit,Penn State,Aetna,,,,,State College,Need for a better provider network and opportunities to create more partnerships.,No change to employee benefits after the switch.,"Penn State has dropped Aetna as the administrator for its employee health plan, switching to Highmark. The decision was made to improve the provider network and foster new partnerships. There will be no change to employee benefits following this transition.",exit,provider_payer_exit
5 recently terminated payer contracts,2022-09-06T20:34:09-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/3-recently-terminated-payer-contracts,1,Planned Exit,Johns Hopkins Health System,CareFirst BCBS,Unknown,,2022-12-05,,,,350000,"CareFirst BCBS members will go out of network with Johns Hopkins Health System on Dec. 5 if a new contract is not reached. Johns Hopkins has notified 350,000 patients about the situation.",exit,provider_payer_exit
5 recently terminated payer contracts,2022-09-06T20:34:09-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/3-recently-terminated-payer-contracts,2,Active Exit,,Aetna,Unknown,,2022-08-31,TX,,,9000,"Aetna's contract with Covenant Health expired on Aug. 31, leaving almost 9,000 individuals without in-network coverage. Covenant operates seven hospitals in Texas and New Mexico.",exit,payer_market_exit
5 recently terminated payer contracts,2022-09-06T20:34:09-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/3-recently-terminated-payer-contracts,3,Planned Exit,BayCare Health System,Florida Blue,Unknown,,2022-10-01,FL,,,215000,"Florida Blue members will go out of network with BayCare Health System on Oct. 1 if a new contract is not agreed upon. The health system sent letters to 215,000 patients informing them of the decision.",exit,provider_payer_exit
5 recently terminated payer contracts,2022-09-06T20:34:09-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/3-recently-terminated-payer-contracts,4,Active Exit,,Centene,Unknown,,2023-01-01,,,reimbursement rates,3000000,"Centene has issued a notice of termination for its contract with Tenet Healthcare beginning next year over reimbursement rates, affecting 3 million members nationwide.",exit,payer_market_exit
"Aetna, Covenant Health terminate contract",2022-09-02T13:11:48-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/aetna-covenant-health-terminate-contract,1,Active Exit,Covenant Health,Aetna,Unknown,,2022-08-31,"TX,NM",,Contract expired due to inability to agree on reimbursement terms.,Covenant providers do not participate in Aetna's networks.,"Covenant Health's contract with Aetna expired on August 31, 2022, due to disagreements over reimbursement rates. As a result, Covenant providers are currently out-of-network for Aetna members in Texas and New Mexico.",exit,provider_payer_exit
"Centene threatens to terminate contract with Tenet, potentially impacting 3 million patients",2022-08-30T13:52:51-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/centene-to-terminate-contract-with-tenet-healthcare-threatening-coverage-for-3-million-patients,1,Planned Exit,Tenet Healthcare,Centene,Medicaid,,2023-01-01,"AZ,TX,CA,FL,MI","Dallas, Phoenix, Tucson",Termination of contract over reimbursement rates.,"400,000 Centene Medicaid members in Arizona would be affected.","Centene has issued a notice of termination for its contract with Tenet Healthcare, effective January 1, 2023, impacting 3 million members nationwide. The contract includes 19 Tenet-owned health systems across multiple states, with significant member impact in Arizona.",exit,provider_payer_exit
