article_title,article_published_dt,article_section,article_source,link,event_index,status,provider,payer,market,program,effective_date,states,geography_detail,reason,member_impact,summary,record_type,closure_type
"IU Health consolidates regions, folds 2 hospitals into academic structure",2026-02-27T15:09:17-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/iu-health-consolidates-regions-folds-2-hospitals-into-academic-structure/,1,Planned Closure,IU Health North Hospital and IU Health West Hospital,,,,,,"Carmel and Avon, Indiana",Merged into the Academic Health Center structure as part of a regional consolidation.,,IU Health North Hospital and IU Health West Hospital are being merged into the Academic Health Center structure as part of IU Health's regional consolidation efforts. This change is aimed at streamlining operations and improving care delivery.,closure,hospital_closure
New Jersey system closing hospital ED after $30M loss,2026-02-27T09:29:50-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/new-jersey-system-closing-hospital-ed-after-30m-loss/,1,Planned Closure,Hudson Regional Health,,,,2026-03-14,NJ,"Jersey City, N.J.",Projected $30 million loss this year.,,"Hudson Regional Health plans to close the emergency department at a hospital site in Jersey City, N.J., on March 14 due to a projected $30 million loss this year. The closure was initially planned for February 28 but has been extended after discussions with local officials.",closure,unit_closure
"Hospital to close ASC, cut jobs ahead of OhioHealth acquisition",2026-02-26T11:08:03-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/hospital-to-close-asc-cut-jobs-ahead-of-ohiohealth-acquisition/,1,Planned Closure,Fairfield Medical Center,,,,2026-02-27,OH,"Lancaster, Ohio","Financial pressures, including reimbursement shortfalls, rising supply costs, and workforce challenges.",,"Fairfield Medical Center will close its sleep medicine services and River View Surgery Center this spring due to financial pressures. The sleep lab is set to close on February 27, 2026. The hospital will assist existing patients with follow-up care and transition procedures to other settings.",closure,service_line_closure
Official urges stadium tax shift to avert Minnesota hospital closure,2026-02-26T10:34:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/commissioner-urges-repurposing-ballpark-sales-tax-to-stave-off-hennepin-county-medical-center-closure/,1,Planned Closure,Hennepin County Medical Center,,,,,MN,Minneapolis,Financial challenges and projected $50 million shortfall.,Projected $100 million loss in compensated care and $1.7 billion reduction in Medicaid revenue over the next decade.,Hennepin County Medical Center is facing a projected $50 million shortfall and may close if legislative approval for tax repurposing is not obtained. The hospital has already cut five medical programs and reduced its number of patient beds by 100.,closure,hospital_closure
Alabama commits $40M to struggling hospital,2026-02-25T09:45:06-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/alabama-commits-40m-to-struggling-hospital/,1,Active Closure,Jackson Hospital,,,,,AL,Montgomery,The hospital sought Chapter 11 protection and is facing financial struggles.,,"Jackson Hospital in Montgomery is currently facing bankruptcy and has sought Chapter 11 protection. The hospital remains open and operational, but financial difficulties persist.",closure,hospital_closure
New Mexico system to downsize headquarters by more than half,2026-02-24T16:27:10-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/new-mexico-system-to-downsize-hq-by-more-than-half/,1,Planned Closure,Lovelace Health System,,,,2026-08-01,NM,Albuquerque,Relocation to a new headquarters,,"Lovelace Health System is downsizing its headquarters, moving from 55,000 square feet to 24,000 square feet in Albuquerque. The relocation is planned for August and aims to create a more collaborative environment for administrative support.",closure,office_closure
3 big questions surrounding the Rural Health Transformation Program,2026-02-23T14:08:06-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/3-big-questions-surrounding-the-rural-health-transformation-program/,1,Planned Closure,,,,,,,rural areas in the U.S.,Operating at a loss and vulnerable to closure due to Medicaid cuts.,417 rural hospitals are vulnerable to closure.,"Forty-one percent of rural hospitals are operating at a loss, and 417 are vulnerable to closure. Since 2010, 206 rural hospitals have either closed or converted to models that exclude inpatient care.",closure,hospital_closure
2 hospital closures in 1 week,2026-02-20T16:59:10-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/2-hospital-closures-in-1-week/,1,Planned Closure,Regency Hospital-Meridian,,,,2026-03-13,MS,,Operational business decision,,Regency Hospital-Meridian plans to close on or before March 13 due to operational challenges. The facility is no longer accepting new admissions.,closure,hospital_closure
2 hospital closures in 1 week,2026-02-20T16:59:10-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/2-hospital-closures-in-1-week/,2,Planned Closure,Bradford Regional Medical Center,,,,2026-06-30,PA,,"Transition to an ambulatory, outpatient care model pending approval","238 staff affected, eligible for other positions","Bradford Regional Medical Center plans to shutter inpatient, emergency, and long-term care services by mid-2026 as part of a transition to an outpatient care model.",closure,hospital_closure
California county to temporarily oversee hospital ED,2026-02-20T15:01:45-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/california-county-to-temporarily-oversee-hospital-ed/,1,Planned Closure,Palo Verde Hospital,,,,2026-02-19,CA,"Blythe, California",Funding shortfall,,"The emergency department at Palo Verde Hospital was nearly closed in early January due to a funding shortfall. A 180-day stabilization plan was approved on February 19 to manage the ED and clinic, with a county-led team set to assess operations.",closure,emergency_department_closure
Washington hospital takes steps toward stabilization amid 14 fraud investigations,2026-02-20T12:00:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/washington-hospital-takes-steps-toward-stabilization-amid-14-fraud-investigations/,1,Active Closure,East Adams Rural Healthcare’s Ritzville Hospital,,,,,WA,,Financial fraud and mismanagement led to significant losses and risk of closure.,The hospital was within two to three weeks of closure in June 2025.,"East Adams Rural Healthcare’s Ritzville Hospital faced significant financial fraud issues, leading to a risk of closure. The hospital's leadership has taken steps to stabilize operations, including new management and financial restructuring, but it remains at risk.",closure,hospital_closure
Walgreens to cut 628 jobs,2026-02-19T16:34:16-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/walgreens-to-cut-628-jobs/,1,Planned Closure,Walgreens,,,,,"IL,TX",,Part of a distribution center shutdown.,,"Walgreens plans to shut down a distribution center, resulting in the elimination of 628 jobs across Illinois and Texas. This decision is part of the company's broader strategy to reshape operations under new ownership.",closure,other_closure
Mississippi hospital to close in March,2026-02-19T09:14:04-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/mississippi-hospital-to-close-in-march/,1,Planned Closure,Regency Hospital-Meridian,,,,2026-03-13,MS,Meridian,Operational business decision,Patients can receive care at Ochsner Specialty Hospital.,"Regency Hospital-Meridian plans to close by March 13, 2026, due to an operational business decision. The hospital is located in Meridian, Mississippi, and will no longer accept new admissions. Patients are directed to Ochsner Specialty Hospital for continued care.",closure,hospital_closure
"Kansas county withdraws hospital lease termination notice, commits to keeping it open",2026-02-18T10:00:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/kansas-county-withdraws-hospital-lease-termination-notice-commits-to-keeping-it-open/,1,Planned Closure,Pratt Regional Medical Center,,,,,KS,,Lease termination notice due to alleged unpaid rent and unreplenished rent credits.,Potential disruption to local healthcare services if the lease was terminated.,"Pratt County withdrew a lease termination notice for Pratt Regional Medical Center, which had threatened the hospital's operation. The county had claimed the hospital owed over $1.58 million in rent credits and unpaid rent. The hospital disputed this claim and provided financial information to demonstrate its profitability.",closure,hospital_closure
"Pennsylvania hospital to close, transition to outpatient care",2026-02-17T15:22:30-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/pennsylvania-hospital-to-close-transition-to-outpatient-care/,1,Planned Closure,Bradford Regional Medical Center,,,,2026-06-30,PA,,Declining population and severely reduced patient census.,"238 employees affected, with opportunities to seek other positions.","Bradford Regional Medical Center plans to close its inpatient, emergency, and long-term care services by mid-2026, transitioning to an outpatient care model. The decision is due to financial losses averaging $10.1 million annually since 2021 and a significant decline in inpatient utilization.",closure,hospital_closure
Massachusetts system cuts 117 corporate jobs,2026-02-17T15:11:46-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/massachusetts-system-cuts-117-corporate-jobs/,1,Active Closure,Baystate Health,,,,2026-01-31,MA,"Holyoke, Massachusetts",Transition to a just-in-time supply delivery model aimed at improving efficiency.,,"Baystate Health has closed its central warehouse in Holyoke, Massachusetts, effective January 31, 2026, as part of a transition to a just-in-time supply delivery model aimed at improving efficiency and minimizing inventory waste.",closure,facility_closure
13 hospitals closing departments or ending services,2026-02-13T15:11:37-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/13-hospitals-closing-departments-or-ending-services/,1,Planned Closure,Trinity Health,,,,,ND,,Financial considerations and focus on more in-demand services.,,Trinity Health is suspending home health and outpatient hospice services due to financial considerations and a focus on more in-demand services.,closure,service_line_closure
13 hospitals closing departments or ending services,2026-02-13T15:11:37-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/13-hospitals-closing-departments-or-ending-services/,2,Planned Closure,Ephraim McDowell Fort Logan Hospital,,,,2026-02-16,KY,"Ephraim McDowell Regional Medical Center, Danville, KY",,,Ephraim McDowell Fort Logan Hospital will relocate its inpatient labor and delivery services to Ephraim McDowell Regional Medical Center on February 16.,closure,service_line_closure
13 hospitals closing departments or ending services,2026-02-13T15:11:37-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/13-hospitals-closing-departments-or-ending-services/,3,Planned Closure,LifeBridge Health,,,,2026-03-07,MD,"Ellicott City, MD",Low procedure volumes.,23 employees affected.,"LifeBridge Health will close its Ellicott City Ambulatory Surgery Center due to low procedure volumes, affecting 23 employees, with closure taking effect between March 7 and April 6.",closure,facility_closure
13 hospitals closing departments or ending services,2026-02-13T15:11:37-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/13-hospitals-closing-departments-or-ending-services/,4,Planned Closure,Johnson Memorial Health,,,,,IN,"Franklin, IN",Decreasing federal and state insurance reimbursement rates and rising service costs.,,Johnson Memorial Health plans to phase out obstetrics services and the maternity care center on its Franklin campus due to decreasing reimbursement rates and rising service costs.,closure,service_line_closure
13 hospitals closing departments or ending services,2026-02-13T15:11:37-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/13-hospitals-closing-departments-or-ending-services/,5,Planned Closure,Providence Mission Hospital Laguna Beach,,,,,CA,,Low inpatient demand and high renovation costs.,,Providence Mission Hospital Laguna Beach began a multiyear planning process to phase out acute care and emergency services due to low inpatient demand and high renovation costs.,closure,service_line_closure
13 hospitals closing departments or ending services,2026-02-13T15:11:37-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/13-hospitals-closing-departments-or-ending-services/,6,Planned Closure,Teton Valley Health Care,,,,,ID,"Driggs, ID",Financial pressures.,26 employees laid off.,"Teton Valley Health Care will close its infusion clinic amid financial pressures, with a closure date to be determined after existing medication supplies are depleted.",closure,service_line_closure
13 hospitals closing departments or ending services,2026-02-13T15:11:37-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/13-hospitals-closing-departments-or-ending-services/,7,Planned Closure,Sweetwater Hospital Association,,,,2026-02-28,TN,,Ongoing challenges maintaining specialty provider coverage and financial constraints.,,Sweetwater Hospital Association plans to close its labor and delivery department on February 28 due to ongoing challenges and financial constraints.,closure,service_line_closure
13 hospitals closing departments or ending services,2026-02-13T15:11:37-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/13-hospitals-closing-departments-or-ending-services/,8,Planned Closure,MercyOne,,,,2026-02-27,IA,"Ottumwa, IA",,,MercyOne plans to close its MercyOne Ottumwa Family and Internal Medicine location on February 27.,closure,facility_closure
13 hospitals closing departments or ending services,2026-02-13T15:11:37-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/13-hospitals-closing-departments-or-ending-services/,9,Planned Closure,CHI Health St. Francis,,,,2026-03-10,NE,"Grand Island, NE",Broader changes in skilled nursing care delivery.,,"CHI Health St. Francis will close its skilled nursing facility on March 10, reflecting broader changes in how skilled nursing care is delivered.",closure,facility_closure
13 hospitals closing departments or ending services,2026-02-13T15:11:37-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/13-hospitals-closing-departments-or-ending-services/,10,Planned Closure,Southeast Iowa Regional Medical Center,,,,2026-12-31,IA,"Fort Madison, IA",Transition to a hub-and-spoke maternal care model.,,Southeast Iowa Regional Medical Center will end inpatient labor and delivery services by the end of 2026 as part of a transition to a hub-and-spoke maternal care model.,closure,service_line_closure
13 hospitals closing departments or ending services,2026-02-13T15:11:37-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/13-hospitals-closing-departments-or-ending-services/,11,Active Closure,Ouachita County Medical Center,,,,2026-01-09,AR,"Camden, AR",Low delivery volumes and reimbursement cuts.,,Ouachita County Medical Center closed its labor and delivery unit on January 9 due to low delivery volumes and reimbursement cuts.,closure,service_line_closure
13 hospitals closing departments or ending services,2026-02-13T15:11:37-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/13-hospitals-closing-departments-or-ending-services/,12,Active Closure,Central Maine Healthcare,,,,2026-03-06,ME,"Gray, ME",,,"Central Maine Healthcare will close its Gray Family Health Center on March 6, which may be unexpected for patients.",closure,service_line_closure
13 hospitals closing departments or ending services,2026-02-13T15:11:37-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/13-hospitals-closing-departments-or-ending-services/,13,Active Closure,Warren General Hospital,,,,,PA,,National OB-GYN shortage and sudden change in physician availability.,,Warren General Hospital discontinued inpatient labor and delivery services due to a national OB-GYN shortage and a sudden change in physician availability.,closure,service_line_closure
Trinity Health in North Dakota suspends home health and hospice services,2026-02-13T14:30:49-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/trinity-health-in-north-dakota-suspends-home-health-and-hospice-services/,1,Planned Closure,Trinity Health,,,,,ND,"Minot, North Dakota",Suspension of home health and outpatient hospice services after a review of operations.,Continuity of care for patients is a top priority; specific numbers not mentioned.,"Trinity Health is suspending home health and outpatient hospice services in Minot, North Dakota. The decision follows a thorough review of operations, and the organization is exploring opportunities to transition these services with community providers.",closure,service_line_closure
5 maternity service closures in 2026,2026-02-12T14:47:22-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/3-maternity-closures-in-3-weeks/,1,Planned Closure,Ephraim McDowell Fort Logan Hospital,,,,2026-02-16,KY,"Stanford, KY",,,"Ephraim McDowell Fort Logan Hospital will move its inpatient labor and delivery services to Ephraim McDowell Regional Medical Center on February 16, 2026. The hospitals are part of the same health system and are located 15 minutes apart.",closure,service_line_closure
5 maternity service closures in 2026,2026-02-12T14:47:22-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/3-maternity-closures-in-3-weeks/,2,Planned Closure,Johnson Memorial Health,,,,,IN,"Franklin, IN",Decreasing federal and state insurance reimbursement rates and rising service costs.,,Johnson Memorial Health plans to phase out obstetrics services and the maternity care center on its Franklin campus due to financial pressures.,closure,service_line_closure
5 maternity service closures in 2026,2026-02-12T14:47:22-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/3-maternity-closures-in-3-weeks/,3,Planned Closure,Sweetwater Hospital Association,,,,2026-02-28,TN,"Sweetwater, TN",Ongoing challenges like maintaining specialty provider coverage and financial constraints.,,"Sweetwater Hospital Association plans to close its labor and delivery department on February 28, 2026, due to financial constraints and declining patient volumes.",closure,service_line_closure
5 maternity service closures in 2026,2026-02-12T14:47:22-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/3-maternity-closures-in-3-weeks/,4,Planned Closure,Southeast Iowa Regional Medical Center,,,,2026-12-31,IA,"Fort Madison, IA",Transition to a hub-and-spoke maternal care model.,,Southeast Iowa Regional Medical Center will shutter its inpatient labor and delivery services by the end of 2026 as part of a transition to a hub-and-spoke maternal care model.,closure,service_line_closure
5 maternity service closures in 2026,2026-02-12T14:47:22-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/3-maternity-closures-in-3-weeks/,5,Active Closure,Ouachita County Medical Center,,,,2026-01-09,AR,"Camden, AR",Unsuccessful efforts to maintain profitability.,119 deliveries in 2025.,"Ouachita County Medical Center closed its labor and delivery unit on January 9, 2026, after finding the effort to maintain profitability unsustainable due to minimal delivery volumes.",closure,service_line_closure
Kentucky system to consolidate obstetrics services,2026-02-12T14:38:06-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/kentucky-system-to-consolidate-obstetrics-services/,1,Planned Closure,Ephraim McDowell Fort Logan Hospital,,,,2026-02-16,KY,"Stanford, Danville",Relocation of inpatient labor and delivery services to enhance care capacity.,Employees have been offered other positions within the system.,"Ephraim McDowell Fort Logan Hospital will relocate its inpatient labor and delivery services to Ephraim McDowell Regional Medical Center on February 16, 2026. This move aims to elevate the level of care for mothers and babies by utilizing additional capacity at the new location. The hospital is not closing, and employees have been offered other positions.",closure,service_line_closure
"$50B program may treat, not cure what ails rural healthcare: Chartis",2026-02-12T09:33:08-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/50b-program-may-treat-not-cure-what-ails-rural-healthcare-chartis/,1,Planned Closure,,,,,,,,Financial pressures and projected Medicaid cuts.,"417 rural hospitals are vulnerable to closure, and 41% are operating in the red.",The article indicates that 417 rural hospitals are vulnerable to closure due to financial pressures and projected Medicaid cuts. It highlights that 41% of these hospitals are currently operating at a loss.,closure,hospital_closure
"Hennepin Healthcare to cut 100 beds, pause some employee benefits",2026-02-12T08:55:16-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/hennepin-healthcare-to-cut-100-beds-pause-some-employee-benefits/,1,Planned Closure,Hennepin Healthcare,,,,,MN,Minneapolis,Cost-cutting measures and alignment of resources with current demand.,,"Hennepin Healthcare is planning to close or integrate several clinics and services, including chiropractic, acupuncture, and sleep medicine, as part of broader cost-reduction efforts.",closure,service_line_closure
Rhode Island OKs $18M backstop to save 2 Prospect hospitals,2026-02-11T09:44:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/rhode-island-oks-18m-backstop-to-save-2-prospect-hospitals/,1,Planned Closure,Our Lady of Fatima Hospital,,,,,RI,"North Providence, RI",Bankruptcy and failure to secure private investors for the purchase.,"The hospitals see 300,000 patients and 55,000 emergency department visits annually.","Our Lady of Fatima Hospital in North Providence, RI, is at risk of closure due to bankruptcy and difficulties in securing funding for its purchase. The state is providing financial support to prevent this closure.",closure,hospital_closure
Rhode Island OKs $18M backstop to save 2 Prospect hospitals,2026-02-11T09:44:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/rhode-island-oks-18m-backstop-to-save-2-prospect-hospitals/,2,Planned Closure,Roger Williams Medical Center,,,,,RI,"Providence, RI",Bankruptcy and failure to secure private investors for the purchase.,"The hospitals see 300,000 patients and 55,000 emergency department visits annually.","Roger Williams Medical Center in Providence, RI, is at risk of closure due to bankruptcy and difficulties in securing funding for its purchase. The state is providing financial support to prevent this closure.",closure,hospital_closure
417 rural hospitals at risk of closure: Chartis,2026-02-11T08:52:08-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/417-rural-hospitals-at-risk-of-closure-chartis/,1,Active Closure,,,,,,"TN,SD,MS,KS,TX,GA,AR,FL,AL,SC,LA,NC,WY,IN,KY,MO,NE,NM,OK,AZ,IL,MI,MN,NV,NY,OH,PA,WI",,417 rural hospitals are vulnerable to closure according to a report.,,"The report identifies 417 rural hospitals at risk of closure, with notable shifts in vulnerability percentages across various states. Since 2010, 206 rural hospitals have closed or converted to models excluding inpatient care.",closure,hospital_closure
Indiana hospital to phase out maternity services,2026-02-10T14:30:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/indiana-hospital-to-phase-out-maternity-services/,1,Planned Closure,Johnson Memorial Health,,,,,IN,Franklin,Phasing out obstetrics services and maternity care center due to decreasing reimbursement rates and rising service costs.,Around 70% of JMH’s patients use government programs.,"Johnson Memorial Health in Franklin, Indiana, plans to phase out its obstetrics services and maternity care center. This decision is driven by decreasing federal and state insurance reimbursement rates and rising service costs. The process is expected to take multiple months.",closure,service_line_closure
LifeBridge Health to close Maryland surgery center,2026-02-10T09:50:51-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/lifebridge-health-to-close-maryland-surgery-center/,1,Planned Closure,LifeBridge Health,,,,2026-03-07,MD,Ellicott City,Low procedure volumes,23 employees affected,"LifeBridge Health will close its Ellicott City Ambulatory Surgery Center due to low procedure volumes. The closure will take effect between March 7 and April 6, affecting 23 employees. The health system is working to find job opportunities for affected team members.",closure,facility_closure
Struggling Mississippi hospital seeks state approval for bankruptcy,2026-02-09T09:25:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/struggling-mississippi-hospital-seeks-state-approval-for-bankruptcy/,1,Planned Closure,Greenwood Leflore Hospital,,,,,MS,"Greenwood, Leflore County",Potential bankruptcy due to financial disputes with the state Medicaid program.,The hospital narrowly avoided closure in December 2025 and may face closure if bankruptcy is pursued.,Greenwood Leflore Hospital is seeking state approval for bankruptcy to avoid closure due to financial issues with Medicaid. The hospital narrowly avoided closure in December 2025 and is currently negotiating repayment agreements.,closure,facility_closure
9 hospitals closing departments or ending services,2026-02-06T13:55:41-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/6-hospitals-closing-departments-or-ending-services/,1,Planned Closure,Providence Mission Hospital Laguna Beach,,,,,CA,,Low inpatient demand and high cost of renovations.,"On average, 80% of the hospital’s 159 licensed beds are unused each day.",Providence Mission Hospital Laguna Beach is phasing out acute care and emergency services due to low demand and renovation costs.,closure,service_line_closure
9 hospitals closing departments or ending services,2026-02-06T13:55:41-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/6-hospitals-closing-departments-or-ending-services/,2,Planned Closure,Teton Valley Health Care,,,,,ID,,Financial pressures.,"26 employees laid off, around 10% of the workforce.",Teton Valley Health Care will close its infusion clinic amid financial pressures once existing medication supplies are depleted.,closure,office_closure
9 hospitals closing departments or ending services,2026-02-06T13:55:41-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/6-hospitals-closing-departments-or-ending-services/,3,Planned Closure,Sweetwater Hospital Association,,,,2026-02-28,TN,,Ongoing challenges maintaining specialty provider coverage and financial constraints.,,Sweetwater Hospital Association plans to close its labor and delivery department on February 28 due to ongoing challenges.,closure,service_line_closure
9 hospitals closing departments or ending services,2026-02-06T13:55:41-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/6-hospitals-closing-departments-or-ending-services/,4,Planned Closure,MercyOne Ottumwa,,,,2026-02-27,IA,,,,MercyOne plans to close its MercyOne Ottumwa Family and Internal Medicine location on February 27.,closure,office_closure
9 hospitals closing departments or ending services,2026-02-06T13:55:41-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/6-hospitals-closing-departments-or-ending-services/,5,Planned Closure,CHI Health St. Francis,,,,2026-03-10,NE,,Broader changes in how skilled nursing care is delivered.,,CHI Health St. Francis will close its skilled nursing facility on March 10 due to changes in skilled nursing care delivery.,closure,facility_closure
9 hospitals closing departments or ending services,2026-02-06T13:55:41-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/6-hospitals-closing-departments-or-ending-services/,6,Planned Closure,Southeast Iowa Regional Medical Center,,,,2026-12-31,IA,Fort Madison,Transition to a hub-and-spoke maternal care model.,,Southeast Iowa Regional Medical Center will end inpatient labor and delivery services by the end of 2026 as part of a transition to a new care model.,closure,service_line_closure
9 hospitals closing departments or ending services,2026-02-06T13:55:41-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/6-hospitals-closing-departments-or-ending-services/,7,Active Closure,Ouachita County Medical Center,,,,2026-01-09,AR,Camden,Low delivery numbers and reimbursement cuts.,,Ouachita County Medical Center closed its labor and delivery unit on January 9 due to low delivery numbers and reimbursement cuts.,closure,service_line_closure
9 hospitals closing departments or ending services,2026-02-06T13:55:41-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/6-hospitals-closing-departments-or-ending-services/,8,Planned Closure,Central Maine Healthcare,,,,2026-03-06,ME,Gray,,,"Central Maine Healthcare will close its Gray Family Health Center on March 6, which may be unexpected for patients.",closure,office_closure
9 hospitals closing departments or ending services,2026-02-06T13:55:41-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/6-hospitals-closing-departments-or-ending-services/,9,Active Closure,Warren General Hospital,,,,,PA,,National OB-GYN shortage and sudden change in physician availability.,,Warren General Hospital discontinued inpatient labor and delivery services due to a national OB-GYN shortage.,closure,service_line_closure
"California hospital's critical access status restored, 1 step closer to reopening",2026-02-06T09:13:20-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/california-hospital-critical-access-status-restored-1-step-closer-to-reopening/,1,Resolved,Glenn Medical Center,,,,2025-09-30,CA,"Willows, California",Lost critical access hospital status due to proximity to another facility.,,"Glenn Medical Center closed on September 30, 2025, after losing its critical access designation. The hospital is now working towards reopening with support from bipartisan health funding.",closure,hospital_closure
Providence California hospital to end acute care services,2026-02-02T18:13:42-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/providence-california-hospital-to-end-acute-care-services/,1,Planned Closure,Providence Mission Hospital Laguna Beach,,,,,CA,Laguna Beach,Low inpatient demand and high cost of renovations needed for the facility.,"On average, 80% of the hospital’s 159 licensed beds are unused each day.",Providence Mission Hospital Laguna Beach is planning to phase out acute care and emergency services due to low demand and high renovation costs. The transition will occur over time with coordination to ensure continuity of care for the community.,closure,hospital_closure
Texas hospital plans transition to rural emergency facility,2026-01-30T14:20:08-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/texas-hospital-plans-transition-to-rural-emergency-facility/,1,Planned Closure,Concho County Hospital,,,,,TX,"Eden, Texas",Transitioning to a rural emergency hospital.,Patients with inpatient hospital stay needs will be transferred to another facility for care.,"Concho County Hospital in Eden, Texas, is planning to convert to a rural emergency hospital, requiring regulatory approval. The facility will maintain emergency care and outpatient services but will no longer provide inpatient care.",closure,facility_closure
2 Florida health systems break ground on freestanding EDs in 1 week,2026-01-29T16:51:18-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/2-florida-health-systems-break-ground-on-freestanding-eds-in-1-week/,1,Resolved,Orlando Health Rockledge Hospital,,,,2025-04-01,FL,"Rockledge, Brevard County, FL",Closure of Orlando Health Rockledge Hospital,,"Orlando Health Rockledge Hospital closed in April 2025, impacting access to emergency care in the area. This closure prompted Health First to fast-track plans for new freestanding emergency departments in Brevard County.",closure,hospital_closure
Rhode Island proposes sale deadline for 2 hospitals,2026-01-29T16:16:40-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/rhode-island-proposes-sale-deadline-for-2-hospitals/,1,Planned Closure,Our Lady of Fatima Hospital,,,,2026-02-27,RI,"North Providence, R.I.",Pending acquisition by The Centurion Foundation.,,"Our Lady of Fatima Hospital is planned to be acquired by The Centurion Foundation, with a deadline extension to February 27, 2026, allowing for evaluation of other potential buyers.",closure,hospital_closure
Rhode Island proposes sale deadline for 2 hospitals,2026-01-29T16:16:40-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/rhode-island-proposes-sale-deadline-for-2-hospitals/,2,Planned Closure,Roger Williams Medical Center,,,,2026-02-27,RI,"Providence, R.I.",Pending acquisition by The Centurion Foundation.,,"Roger Williams Medical Center is also planned to be acquired by The Centurion Foundation, with a deadline extension to February 27, 2026, allowing for evaluation of other potential buyers.",closure,hospital_closure
